Relation,Pretty Name,Definition
P279,subclass of,"this item is a subclass (subset) of that item; all instances of this item are instances of that item; different from P31 (instance of), e.g.: volcano is a subclass of mountain (and an instance of volcanic landform); Everest is an instance of mountain"
P355,subsidiary,"subsidiary of a company or organization; generally a fully owned separate corporation. Compare with ""business division"" (P199). Opposite of parent organization (P749)."
P361,part of,"object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A), inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670))"
P364,original language of work,"language in which a film or a performance work was originally created. Deprecated for written works and songs; use P407 (""language of work or name"") instead."
P400,platform,"platform for which a work was developed or released, or the specific platform version of a software product"
P403,mouth of the watercourse,the body of water to which the watercourse drains
P449,original network,network(s) or service(s) that originally broadcast a radio or television program
P463,member of,"organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that)"
P488,chairperson,"presiding member of an organization, group or body"
P495,country of origin,"country of origin of this item (creative work, food, phrase, product, etc.)"
P527,has part,"part of this subject; inverse property of ""part of"" (P361). See also ""has parts of the class"" (P2670)."
P551,residence,"the place where the person is or has been, resident"
P569,date of birth,date on which the subject was born
P570,date of death,date on which the subject died
P571,inception,time when an entity begins to exist; for date of official opening use P1619
P576,dissolved,"point in time at which the subject (organisation, building) ceased to exist; see ""date of official closure"" (P3999) for closing a facility, ""service retirement"" (P730) for retiring equipment, ""discontinued date"" (P2669) for stopping a product"
P577,publication date,date or point in time when a work was first published or released
P580,start time,time an entity begins to exist or a statement starts being valid
P582,end time,moment when an entity ceases to exist and a statement stops being entirely valid or no longer be true
P585,point in time,"date something took place, existed or a statement was true; for providing time use the ""refine date"" property (P4241)"
P607,conflict,"battles, wars or other military engagements in which the person or item participated"
P674,characters,"characters which appear in this item (like plays, operas, operettas, books, comics, films, TV series, video games)"
P676,lyrics by,author of song lyrics
P706,located on terrain feature,located on the specified (geo)physical feature. Should not be used when the value is only political/administrative (P131) or a mountain range (P4552).
P710,participant,"person, group of people or organization (object) that actively takes/took part in an event or process (subject). Preferably qualify with ""object has role"" (P3831). Use P1923 for participants that are teams."
P737,influenced by,"this person, idea, etc. is informed by that other person, idea, etc., e.g. “Heidegger was influenced by Aristotle”"
P740,location of formation,location where a group or organization was formed
P749,parent organization,"parent organization of an organization, opposite of subsidiaries (P355)"
P800,notable work,"notable scientific, artistic or literary work, or other work of significance among subject's works"
P807,separated from,subject was founded or started by separating from identified object
P840,narrative location,the narrative of the work is set in this location
P937,work location,"location where persons or organisations were actively participating in employment, business or other work"
P1001,applies to jurisdiction,"the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)"
P1056,product or material produced,"material or product produced or sold by an organization, industry, facility, or process"
P1198,unemployment rate,portion of a workforce population that is not employed
P1336,territory claimed by,administrative divisions that claim control of a given area
P1344,participant of,event in which a person or organization was/is a participant; inverse of P710 or P1923
P1365,replaces,"person, state or item replaced. Use ""structure replaces"" (P1398) for structures. Use ""follows"" (P155) if the previous item was not replaced or predecessor and successor are identical"
P1366,replaced by,"other person or item which continues the item by replacing it in its role. Use P156 (""followed by"") if the item is not replaced nor identical, but adds to the series (e.g. books in a series)."
P1376,capital of,"country, state, department, canton or other administrative division of which the municipality is the governmental seat"
P1412,languages spoken,"language(s) that a person or a people speaks, writes or signs, including the native language(s)"
P1441,present in work,"this (fictional or fictionalized) entity, place, or person appears in that work as part of the narration (use P2860 for works citing other works, P361/P1433 for works being part of other works, P1343 for entities described in non-fictional accounts)"
P3373,sibling,"the subject and the object have at least one common parent (brother, sister, etc. including half-siblings); use ""relative"" (P1038) for siblings-in-law (brother-in-law, sister-in-law, etc.) and step-siblings (step-brothers, step-sisters, etc.)"
