RELA,Coarse-Grained Relation Label
exhibited_by,performs#inverse
exhibits,performs
expanded_form_of,misc.
expected_outcome_of,misc.
extent_of,misc.
external_to,is_spatially_adjacent_to
finding_context_of,misc.
finding_informer_of,misc.
finding_method_of,investigates
finding_site_of,occurs_in#inverse
focus_of,misc.
form_of,has_variant#inverse
formed_by,causes#inverse
forms,causes
fragments_for_synonyms_of,misc.
full_grown_phenotype_of,causes#inverse
fuses_with,is_physically_connected_with
fusion_of,causes#inverse
gene_associated_with_disease,is_associated_with#inverse
gene_encodes_gene_product,causes
gene_found_in_organism,has_part#inverse
gene_has_abnormality,causes
gene_has_physical_location,occurs_in
gene_in_chromosomal_location,occurs_in
gene_involved_in_molecular_abnormality,regulates
gene_involved_in_pathogenesis_of_disease,is_associated_with#inverse
gene_is_biomarker_of,indicates
gene_is_biomarker_type,misc.
gene_is_element_in_pathway,has_part#inverse
gene_mapped_to_disease,is_associated_with#inverse
gene_mutant_encodes_gene_product_sequence_variation,causes
gene_plays_role_in_process,regulates
gene_product_affected_by_chemical_or_drug,targets#inverse
gene_product_encoded_by_gene,causes#inverse
gene_product_expressed_in_tissue,occurs_in
gene_product_has_abnormality,causes
gene_product_has_associated_anatomy,occurs_in
gene_product_has_biochemical_function,performs
gene_product_has_chemical_classification,is_classified_as
gene_product_has_organism_source,causes#inverse
gene_product_has_structural_domain_or_motif,has_part
gene_product_is_biomarker_of,indicates
gene_product_is_biomarker_type,misc.
gene_product_is_element_in_pathway,has_part#inverse
gene_product_is_physical_part_of,has_part#inverse
gene_product_malfunction_associated_with_disease,is_associated_with#inverse
gene_product_plays_role_in_biological_process,regulates
gene_product_sequence_variation_encoded_by_gene_mutant,causes#inverse
germ_origin_of,causes
gives_rise_to,causes
grade_of,misc.
happens_during,occurs_during
has_access,uses
has_access_instrument,uses
has_action_guidance,misc.
has_active_ingredient,has_ingredient
has_active_metabolites,is_metabolized_into
has_active_moiety,has_ingredient
has_actual_outcome,misc.
has_add_on_code,misc.
has_adherent,is_physically_connected_with
has_adjustment,misc.
has_aggregation_view,misc.
has_alias,misc.
has_allelic_variant,has_variant
has_alternative,misc.
has_answer,misc.
has_approach,uses
has_approach_guidance,misc.
has_arterial_supply,is_physically_connected_with
has_associated_etiologic_finding,causes#inverse
has_associated_finding,misc.
has_associated_function,misc.
has_associated_morphology,has_property
has_associated_procedure,misc.
has_branch,causes
has_british_form,misc.
has_causative_agent,causes#inverse
has_cdrh_parent,is_classified_as
has_challenge,misc.
has_chemical_structure,has_property
has_class,misc.
has_clinical_course,misc.
has_clinician_form,misc.
has_common_name,misc.
has_communication_with_wound,is_physically_connected_with
has_component,has_part
has_conceptual_part,has_part
has_connection_type,physically_interconnects#inverse
has_constitutional_part,has_part
has_consumer_friendly_form,misc.
has_context_binding,misc.
has_continuation_branch,causes
has_contraindicated_drug,is_contraindicated_for#inverse
has_contraindicating_class,is_contraindicated_combination_with
has_contraindicating_mechanism_of_action,is_contraindicated_combination_with
has_contraindicating_physiologic_effect,is_contraindicated_for
has_count,misc.
has_course,misc.
has_data_element,misc.
has_defining_characteristic,has_property
has_definitional_manifestation,has_property
has_dependent,misc.
has_development_type,causes#inverse
has_developmental_stage,occurs_during
has_diagnostic_criteria,has_property
has_direct_cell_shape,misc.
has_direct_constitution_part,has_part
has_direct_device,uses
has_direct_morphology,treats
has_direct_part,has_part
has_direct_procedure_site,targets
has_direct_regional_part,has_part
has_direct_site,is_investigated_using
has_direct_substance,uses
has_divisor,misc.
has_dose_form,has_property
has_doseformgroup,has_property
has_entry_combination,misc.
has_entry_version,misc.
has_episodicity,misc.
has_evaluation,misc.
has_exam,reveals#inverse
has_excluded_approach,uses#negative
has_excluded_associated_finding,misc.
has_excluded_associated_procedure,misc.
has_excluded_component,has_part#negative
has_excluded_locale,misc.
has_excluded_method,uses#negative
has_excluded_pathology,treats#negative
has_excluded_patient_type,is_contraindicated_for
has_excluded_procedure_device,uses#negative
has_excluded_procedure_site,targets#negative
has_excluded_route_of_administration,uses#negative
has_excluded_specimen,uses#negative
has_excluded_surgical_extent,misc.
has_expanded_form,misc.
has_expected_outcome,misc.
has_extent,misc.
has_finding_context,misc.
has_finding_informer,misc.
has_finding_method,investigates#inverse
has_finding_site,occurs_in
has_focus,misc.
has_form,has_variant
has_fragments_for_synonyms,misc.
has_free_acid_or_base_form,has_variant#inverse
has_full_grown_phenotype,causes
has_fusion,causes
has_gene_product_element,has_part
has_germ_origin,causes#inverse
has_given_pharmaceutical_substance,uses
has_grade,misc.
has_imaged_location,investigates
has_imaging_focus,investigates
has_inactive_ingredient,has_ingredient
has_indirect_device,uses
has_indirect_morphology,treats
has_indirect_procedure_site,targets
has_ingredient,has_ingredient
has_ingredients,has_ingredient
has_inherent_3d_shape,has_property
has_inherent_attribute,misc.
has_inherent_location,is_investigated_using
has_inheritance_type,misc.
has_insertion,is_physically_connected_with
has_instrumentation,uses
has_intent,misc.
has_interpretation,misc.
has_lab_number,misc.
has_lateral_anatomic_location,misc.
has_lateral_location_presence,misc.
has_laterality,misc.
has_life_circumstance,occurs_in
has_locale,misc.
has_location,misc.
has_lymphatic_drainage,is_physically_connected_with
has_maneuver_type,misc.
has_manifestation,has_property
has_mapping_qualifier,is_classified_as
has_measured_component,investigates
has_measurement_method,uses
has_mechanism_of_action,has_property
has_member,has_part
has_method,uses
has_modality_subtype,misc.
has_modality_type,misc.
has_multi_level_category,misc.
has_multipart,has_part
has_muscle_insertion,is_physically_connected_with
has_muscle_origin,is_physically_connected_with
has_nerve_supply,is_physically_connected_with
has_nichd_parent,is_classified_as
has_object_guidance,misc.
has_observed_anatomical_entity,occurs_during
has_occurrence,occurs_in#inverse
has_onset,misc.
has_origin,is_physically_connected_with
has_owning_affiliate,misc.
has_owning_section,misc.
has_owning_subsection,misc.
has_panel_element,has_part
has_part,has_part
has_pathological_process,performs
has_pathology,treats
has_patient_type,targets
has_permuted_term,misc.
has_pharmaceutical_route,misc.
has_pharmacokinetics,has_property
has_phenotype,causes
has_physical_part_of_anatomic_structure,has_part
has_physiologic_effect,causes
has_physiologic_state,misc.
has_plain_text_form,misc.
has_possibly_included_approach,uses
has_possibly_included_associated_finding,has_property#inverse
has_possibly_included_associated_procedure,misc.
has_possibly_included_component,has_part
has_possibly_included_method,uses
has_possibly_included_panel_element,has_part
has_possibly_included_pathology,treats
has_possibly_included_patient_type,targets
has_possibly_included_procedure_device,uses
has_possibly_included_procedure_site,targets
has_possibly_included_route_of_administration,uses
has_possibly_included_surgical_extent,misc.
has_precise_ingredient,has_ingredient
has_precondition,is_investigated_using
has_presence_guidance,misc.
has_primary_segmental_supply,is_physically_connected_with
has_print_name,misc.
has_priority,misc.
has_procedure_context,misc.
has_procedure_device,uses
has_procedure_morphology,treats
has_procedure_site,targets
has_process_output,misc.
has_product_component,has_ingredient
has_projection,regulates
has_property,misc.
has_property_type,misc.
has_quantified_form,has_variant
has_quotient,misc.
has_recipient_category,misc.
has_regional_part,has_part
has_related_developmental_entity,misc.
has_related_factor,causes#inverse
has_revision_status,misc.
has_risk_factor,causes#inverse
has_route_of_administration,uses
has_salt_form,has_variant
has_scale,misc.
has_scale_type,misc.
has_secondary_segmental_supply,is_physically_connected_with
has_segmental_composition,causes#inverse
has_segmental_supply,is_physically_connected_with
has_severity,misc.
has_sign_or_symptom,has_property
has_single_level_category,misc.
has_sort_version,misc.
has_specimen,uses
has_specimen_procedure,is_obtained_by
has_specimen_source_identity,is_obtained_from
has_specimen_source_morphology,is_obtained_from
has_specimen_source_topography,is_obtained_from
has_specimen_substance,has_part
has_stage,misc.
has_subject,investigates
has_subject_of_information,misc.
has_subject_relationship_context,misc.
has_suffix,misc.
has_supersystem,misc.
has_supported_concept_property,misc.
has_supported_concept_relationship,misc.
has_surgical_approach,uses
has_surgical_extent,misc.
has_system,misc.
has_target,targets
has_technique,reveals#inverse
has_temporal_context,misc.
has_therapeutic_class,is_classified_as
has_time_aspect,misc.
has_time_modifier,misc.
has_timing_of,misc.
has_tradename,misc.
has_translation,misc.
has_transliterated_form,misc.
has_tributary,is_physically_connected_with
has_venous_drainage,is_physically_connected_with
has_version,misc.
has_view_type,misc.
homonym_for,misc.
homonym_of,misc.
human_disease_maps_to_eo_disease,misc.
icd_asterisk,misc.
icd_dagger,misc.
imaged_anatomy_has_procedure,investigates#inverse
inactive_ingredient_of,has_ingredient#inverse
included_in,has_variant#inverse
includes,has_variant
includes_sub_specimen,has_part
indirect_device_of,uses#inverse
indirect_morphology_of,treats#inverse
indirect_procedure_site_of,targets#inverse
induced_by,causes#inverse
induces,causes
inferior_to,is_spatially_adjacent_to
ingredient_of,has_ingredient#inverse
ingredients_of,has_ingredient#inverse
inherent_3d_shape_of,has_property#inverse
inherent_location_of,is_investigated_using#inverse
inheres_in,misc.
inheritance_type_of,misc.
insertion_of,is_physically_connected_with
instrumentation_of,uses#inverse
intent_of,misc.
internal_to,is_spatially_adjacent_to
interpretation_of,misc.
interprets,has_property#inverse
inverse_ends_during,occurs_during#inverse
inverse_happens_during,occurs_during#inverse
inverse_isa,is_a#inverse
inverse_was_a,is_a#inverse
is_abnormal_cell_of_disease,is_associated_with#inverse
is_abnormality_of_gene,causes#inverse
is_abnormality_of_gene_product,causes#inverse
is_action_guidance_for,misc.
is_aggregation_view_of,misc.
is_approach_guidance_for,misc.
is_associated_anatomic_site_of,occurs_in#inverse
is_associated_anatomy_of_gene_product,occurs_in#inverse
is_associated_disease_of,is_associated_with#inverse
is_biochemical_function_of_gene_product,performs#inverse
is_chemical_classification_of_gene_product,is_classified_as#inverse
is_chromosomal_location_of_gene,occurs_in#inverse
is_component_of_chemotherapy_regimen,has_part#inverse
is_cytogenetic_abnormality_of_disease,is_associated_with#inverse
is_exam_for,reveals
is_finding_of_disease,has_property#inverse
is_given_pharmaceutical_substance_for,misc.
is_grade_of_disease,misc.
is_imaged_location_for,investigates#inverse
is_imaging_focus_of,investigates#inverse
is_interpreted_by,has_property
is_lateral_anatomic_location_of,misc.
is_location_of_anatomic_structure,occurs_in#inverse
is_location_of_biological_process,occurs_in#inverse
is_maneuver_type_for,misc.
is_marked_by_gene_product,indicates#inverse
is_mechanism_of_action_of_chemical_or_drug,has_property#inverse
is_metastatic_anatomic_site_of_disease,occurs_in#inverse
is_modality_subtype_for,misc.
is_modality_type_for,misc.
is_molecular_abnormality_of_disease,is_associated_with#inverse
is_normal_cell_origin_of_disease,causes
is_normal_tissue_origin_of_disease,causes
is_not_abnormal_cell_of_disease,is_associated_with#negative#inverse
is_not_cytogenetic_abnormality_of_disease,is_associated_with#negative#inverse
is_not_finding_of_disease,has_property#negative#inverse
is_not_molecular_abnormality_of_disease,is_associated_with#negative#inverse
is_not_normal_cell_origin_of_disease,causes#negative
is_not_normal_tissue_origin_of_disease,causes#negative
is_not_primary_anatomic_site_of_disease,occurs_in#negative#inverse
is_object_guidance_for,misc.
is_organism_source_of_gene_product,causes
is_pharmaceutical_route_for,misc.
is_physical_location_of_gene,occurs_in#inverse
is_physiologic_effect_of_chemical_or_drug,causes#inverse
is_presence_guidance_for,misc.
is_presence_of_lateral_location,misc.
is_primary_anatomic_site_of_disease,occurs_in#inverse
is_property_or_attribute_of_eo_disease,misc.
is_qualified_by,misc.
is_related_to_endogenous_product,misc.
is_stage_of_disease,misc.
is_structural_domain_or_motif_of_gene_product,has_part#inverse
is_subject_of,investigates#inverse
is_target,targets#inverse
is_timing_for,misc.
is_view_type_for,misc.
isa,is_a
kind_is_domain_of,misc.
kind_is_range_of,misc.
lab_number_of,misc.
larger_than,misc.
lateral_to,is_spatially_adjacent_to
laterality_of,misc.
left_lateral_to,is_spatially_adjacent_to
left_medial_to,is_spatially_adjacent_to
life_circumstance_of,occurs_in#inverse
locale_of,misc.
locale_of_excluded,misc.
location_of,misc.
lymphatic_drainage_of,is_physically_connected_with
manifestation_of,has_property#inverse
manufactured_by,misc.
manufactures,misc.
mapped_from,is_classified_as#inverse
mapped_to,is_classified_as
mapping_qualifier_of,is_classified_as#inverse
may_be_abnormal_cell_of_disease,is_associated_with#inverse
may_be_associated_disease_of_disease,is_associated_with#inverse
may_be_cytogenetic_abnormality_of_disease,is_associated_with#inverse
may_be_diagnosed_by,reveals#inverse
may_be_finding_of_disease,has_property#inverse
may_be_molecular_abnormality_of_disease,is_associated_with#inverse
may_be_normal_cell_origin_of_disease,causes#negative
may_be_prevented_by,prevents#inverse
may_be_qualified_by,misc.
may_be_treated_by,treats#inverse
may_diagnose,reveals
may_inhibit_effect_of,inhibits_effect_of
may_prevent,prevents
may_qualify,misc.
may_treat,treats
measured_by,reveals#inverse
measured_component_of,investigates#inverse
measurement_method_of,uses#inverse
measures,reveals
mechanism_of_action_of,has_property#inverse
medial_to,is_spatially_adjacent_to
member_of,has_part#inverse
merges_with,is_physically_connected_with
metabolic_site_of,is_metabolized_at#inverse
method_of,uses#inverse
method_of_excluded,uses#negative#inverse
method_of_possibly_included,uses#inverse
modified_by,misc.
modifies,misc.
molecular_abnormality_involves_gene,regulates#inverse
moved_from,misc.
moved_to,misc.
mth_british_form_of,misc.
mth_expanded_form_of,misc.
mth_has_british_form,misc.
mth_has_expanded_form,misc.
mth_has_plain_text_form,misc.
mth_has_xml_form,misc.
mth_plain_text_form_of,misc.
mth_xml_form_of,misc.
multipart_of,has_part#inverse
muscle_insertion_of,is_physically_connected_with
muscle_origin_of,is_physically_connected_with
negatively_regulated_by,regulates#inverse
negatively_regulates,regulates
nerve_supply_of,is_physically_connected_with
occurs_after,is_temporally_followed_by#inverse
occurs_before,is_temporally_followed_by
occurs_in,occurs_in
onset_of,misc.
organism_has_gene,has_part
origin_of,is_physically_connected_with
other_mapped_from,is_classified_as#inverse
other_mapped_to,is_classified_as
owning_affiliate_of,misc.
owning_section_of,misc.
owning_subsection_of,misc.
panel_element_of,has_part#inverse
panel_element_of_possibly_included,has_part#inverse
parent_is_cdrh,is_classified_as#inverse
parent_is_nichd,is_classified_as#inverse
part_of,has_part#inverse
part_referred_to_by,is_investigated_using#inverse
partially_excised_anatomy_has_procedure,targets#inverse
partially_excised_anatomy_may_have_procedure,targets#inverse
pathogenesis_of_disease_involves_gene,is_associated_with
pathological_process_of,performs#inverse
pathology_of,treats#inverse
pathology_of_excluded,treats#negative#inverse
pathology_of_possibly_included,treats#inverse
pathway_has_gene_element,has_part
patient_type_of,targets#inverse
patient_type_of_excluded,is_contraindicated_for#inverse
patient_type_of_possibly_included,targets#inverse
permuted_term_of,misc.
pharmacokinetics_of,has_property#inverse
phenotype_of,causes#inverse
physiologic_effect_of,causes#inverse
physiologic_state_of,misc.
plain_text_form_of,misc.
positively_regulated_by,regulates#inverse
positively_regulates,regulates
possibly_equivalent_to,is_equivalent_to
posterior_to,is_spatially_adjacent_to
precise_ingredient_of,has_ingredient#inverse
precondition_of,is_investigated_using#inverse
primary_mapped_from,is_classified_as#inverse
primary_mapped_to,is_classified_as
primary_segmental_supply_of,is_physically_connected_with
print_name_of,misc.
priority_of,misc.
procedure_context_of,misc.
procedure_device_of,uses#inverse
procedure_device_of_excluded,uses#negative#inverse
procedure_device_of_possibly_included,uses#inverse
procedure_has_completely_excised_anatomy,targets
procedure_has_excised_anatomy,targets
procedure_has_imaged_anatomy,investigates
procedure_has_partially_excised_anatomy,targets
procedure_has_target_anatomy,targets
procedure_may_have_completely_excised_anatomy,targets
procedure_may_have_excised_anatomy,targets
procedure_may_have_partially_excised_anatomy,targets
procedure_morphology_of,treats#inverse
procedure_site_of,targets#inverse
procedure_site_of_excluded,targets#negative#inverse
procedure_site_of_possibly_included,targets#inverse
process_altered_by_allele,regulates#inverse
process_includes_biological_process,has_part
process_initiates_biological_process,regulates
process_involves_gene,regulates#inverse
process_output_of,misc.
product_component_of,has_ingredient#inverse
projects_from,regulates#inverse
projects_to,regulates
property_of,misc.
property_type_of,misc.
proximal_to,is_spatially_adjacent_to
qualifier_applies_to,misc.
quantified_form_of,has_variant#inverse
quotient_of,misc.
receives_attachment_from,is_physically_connected_with
receives_drainage_from,is_physically_connected_with
receives_input_from,regulates#inverse
receives_projection,regulates#inverse
recipient_category_of,misc.
referred_to_by,misc.
refers_to,misc.
reformulated_to,misc.
reformulation_of,misc.
regimen_has_accepted_use_for_disease,treats
regional_part_of,has_part#inverse
regulated_by,regulates#inverse
regulates,regulates
related_developmental_entity_of,misc.
related_factor_of,causes
related_object,misc.
related_to,misc.
relative_to_part_of,is_investigated_using
replaced_by,misc.
replaces,misc.
revision_status_of,misc.
right_lateral_to,is_spatially_adjacent_to
right_medial_to,is_spatially_adjacent_to
risk_factor_of,causes
role_has_domain,misc.
role_has_parent,misc.
role_has_range,misc.
role_is_parent_of,misc.
route_of_administration_of,uses#inverse
route_of_administration_of_excluded,uses#negative#inverse
route_of_administration_of_possibly_included,uses#inverse
same_as,is_equivalent_to
scale_of,misc.
scale_type_of,misc.
secondary_segmental_supply_of,is_physically_connected_with
see,misc.
see_from,misc.
segmental_composition_of,causes
segmental_supply_of,is_physically_connected_with
sends_output_to,regulates
severity_of,misc.
sib_in_branch_of,misc.
sib_in_isa,is_sibling_with
sib_in_part_of,misc.
sib_in_tributary_of,misc.
sign_or_symptom_of,has_property#inverse
site_of_metabolism,is_metabolized_at
smaller_than,misc.
sort_version_of,misc.
specimen_of,uses#inverse
specimen_of_excluded,uses#negative#inverse
specimen_procedure_of,is_obtained_by#inverse
specimen_source_identity_of,is_obtained_from#inverse
specimen_source_morphology_of,is_obtained_from#inverse
specimen_source_topography_of,is_obtained_from#inverse
specimen_substance_of,has_part#inverse
stage_of,misc.
sub_specimen_included_by,has_part#inverse
subject_of_information_of,misc.
subject_relationship_context_of,misc.
subset_includes_concept,misc.
substance_used_by,uses#inverse
substance_used_by_excluded,uses#negative#inverse
substance_used_by_possibly_included,uses#inverse
suffix_of,misc.
superior_to,is_spatially_adjacent_to
supersystem_of,misc.
supported_concept_property_in,misc.
supported_concept_relationship_in,misc.
surgical_approach_of,uses#inverse
surgical_extent_of,misc.
surgical_extent_of_excluded,misc.
surgical_extent_of_possibly_included,misc.
surrounded_by,is_physically_connected_with
surrounds,is_physically_connected_with
system_of,misc.
target_anatomy_has_procedure,targets#inverse
technique_of,reveals
temporal_context_of,misc.
temporally_followed_by,is_temporally_followed_by
temporally_follows,is_temporally_followed_by#inverse
therapeutic_class_of,is_classified_as#inverse
time_aspect_of,misc.
time_modifier_of,misc.
tissue_is_expression_site_of_gene_product,occurs_in#inverse
tradename_of,misc.
transforms_from,causes#inverse
transforms_into,causes
translation_of,misc.
transliterated_form_of,misc.
tributary_of,is_physically_connected_with
use,is_classified_as
used_by,uses#inverse
used_for,is_classified_as#inverse
uses,uses
uses_access_device,uses
uses_device,uses
uses_energy,uses
uses_excluded_substance,uses#negative
uses_possibly_included_substance,uses
uses_substance,uses
venous_drainage_of,is_physically_connected_with
version_of,misc.
was_a,is_a
wound_has_communication_with,is_physically_connected_with
