Question Type,Relation,Template
twohop,P1056#inverse-P749#inverse,Which organizations are part of the organization or industry that produces {target} as subsidiaries?
twohop,P108-P749#inverse,Which organizations are part of the organization that {target} works for as subsidiaries?
twohop,P112#inverse-P264#inverse,Which artist or album is signed to the entity that was founded by {target}?
twohop,P118-P463#inverse,Who is a member of the league in which {target} competes?
twohop,P123#inverse-P1441#inverse,"Which character, place, or entity appears in the work that was published by {target}?"
twohop,P123#inverse-P495#inverse,What has the work that was published by {target} as its country of origin?
twohop,P123-P108#inverse,Who is employed by the publisher of {target}?
twohop,P127-P355,What is the subsidiary of the owner of {target}?
twohop,P131-P150,What administrative division is contained within the administrative territorial entity in which {target} is located?
twohop,P131-P150#inverse,Which administrative entity is the administrative territorial entity in which {target} is located a part of?
twohop,P131-P17,Which country is the administrative territorial entity (in which {target} is located) located in?
twohop,P131-P206,Which body of water is the administrative territorial entity in which {target} is located located in or next to?
twohop,P131-P463,"Which organization, club, or musical group does the administrative territorial entity in which {target} is located belong to?"
twohop,P131-P6,Who is the head of government of the administrative territorial entity in which {target} is located?
twohop,P1366-P194,What is the legislative body of the entity that {target} is replaced by?
twohop,P137-P17,Which country is the operator of {target} located in?
twohop,P1412-P1001#inverse,"the language spoken, written, or signed in {target} is under the jurisdiction of which governmental body or law?"
twohop,P1441-P161,Who is a cast member of the work in which {target} appears?
twohop,P1441-P674,Which character appears in the work in which {target} appears?
twohop,P150#inverse-P1001#inverse,the administrative entity of which {target} is a part is under the jurisdiction of which governmental body or law?
twohop,P150#inverse-P131,In which administrative territorial entity is the administrative entity of which {target} is a part located?
twohop,P150#inverse-P131#inverse,What is located in the administrative entity of which {target} is a part?
twohop,P150#inverse-P17#inverse,What is located in the administrative entity of which {target} is a part?
twohop,P150#inverse-P27#inverse,Who is a citizen of the administrative entity of which {target} is a part?
twohop,P150#inverse-P495#inverse,What has the administrative entity of which {target} is a part as its country of origin?
twohop,P150-P1001#inverse,the administrative division contained within {target} is under the jurisdiction of which governmental body or law?
twohop,P155#inverse-P27#inverse,Who is a citizen of the event or entity that comes after {target}?
twohop,P156-P400,On which platform was the event or entity that comes after {target} released?
twohop,P159#inverse-P118,In which league does the organization that has its headquarters in {target} compete?
twohop,P159-P150,What administrative division is contained within the place where the headquarters of {target} is located?
twohop,P159-P17,Which country is the place where the headquarters of {target} is located located in?
twohop,P159-P740#inverse,What was established in the place where the headquarters of {target} is located?
twohop,P162#inverse-P161,Who is a cast member of the entity that {target} produced?
twohop,P162-P3373#inverse,Who has the producer of {target} as a sibling?
twohop,P166#inverse-P27,Which country recognizes the person who received the {target} award as its citizen?
twohop,P17#inverse-P150#inverse,Which administrative entity is the entity that is located in {target} a part of?
twohop,P17#inverse-P276#inverse,Which notable object or event is located in the entity that is located in {target}?
twohop,P170-P161#inverse,In which production did the creator of {target} appear?
twohop,P170-P58#inverse,What did the creator of {target} write the script for?
twohop,P172#inverse-P17#inverse,What is located in the person who belongs to {target}?
twohop,P175#inverse-P22#inverse,Who is the child of the entity that {target} performed?
twohop,P175-P463#inverse,Who is a member of the performer of {target}?
twohop,P175-P463#inverse,Who is a member of the performer of {target}?
twohop,P176-P127#inverse,What is owned by the manufacturer of {target}?
twohop,P178#inverse-P400,On which platform was the entity that was developed by {target} released?
twohop,P178-P1056,What is a product or material produced by the developer of {target}?
twohop,P178-P108#inverse,Who is employed by the developer of {target}?
twohop,P179#inverse-P400,On which platform was the entity included in the {target} series released?
twohop,P179-P1441#inverse,"Which character, place, or entity appears in the series to which {target} belongs?"
twohop,P179-P400,On which platform was the series to which {target} belongs released?
twohop,P179-P674,Which character appears in the series to which {target} belongs?
twohop,P17-P1001#inverse,the country in which {target} is located is under the jurisdiction of which governmental body or law?
twohop,P17-P131,In which administrative territorial entity is the country (in which {target} is located) located?
twohop,P17-P131#inverse,What is located in the country in which {target} is located?
twohop,P17-P1344,In which event was the country in which {target} is located a participant?
twohop,P17-P1366#inverse,What did the country in which {target} is located replace?
twohop,P17-P1412#inverse,Which individuals or communities use the country in which {target} is located as a language?
twohop,P17-P150,What administrative division is contained within the country in which {target} is located?
twohop,P17-P172,What is the ethnic group of the country in which {target} is located?
twohop,P17-P194,What is the legislative body of the country in which {target} is located?
twohop,P17-P205#inverse,What body of water is bordered by the country in which {target} is located?
twohop,P17-P27#inverse,Who is a citizen of the country in which {target} is located?
twohop,P17-P276#inverse,Which notable object or event is located in the country in which {target} is located?
twohop,P17-P30,On which continent is the country (in which {target} is located) located?
twohop,P17-P35,Who is the head of state of the country in which {target} is located?
twohop,P17-P361,What is the country in which {target} is located a part of?
twohop,P17-P37,What is the official language of the country in which {target} is located?
twohop,P17-P463,"Which organization, club, or musical group does the country in which {target} is located belong to?"
twohop,P17-P495#inverse,What has the country in which {target} is located as its country of origin?
twohop,P17-P527#inverse,What is the country in which {target} is located a part of?
twohop,P17-P571,What is the inception date of the country in which {target} is located?
twohop,P17-P6,Who is the head of government of the country in which {target} is located?
twohop,P17-P607,In which military conflict did the country in which {target} is located participate?
twohop,P17-P710#inverse,In which event did the country in which {target} is located participate?
twohop,P19#inverse-P108,What organization does the person who was born in {target} work for?
twohop,P19#inverse-P570,What is the date of death of the person who was born in {target}?
twohop,P19#inverse-P69,At which educational institution was the person who was born in {target} educated?
twohop,P206#inverse-P131#inverse,What is located in the entity located in or next to {target}?
twohop,P206-P276#inverse,Which notable object or event is located in the body of water in or next to which {target} is located?
twohop,P20-P206,Which body of water is the place where {target} passed away located in or next to?
twohop,P22#inverse-P3373,Who is a sibling of the child of {target}?
twohop,P241#inverse-P551,"Where is the residence of the military unit, award, office, or person that belongs to {target}?"
twohop,P26#inverse-P27,Which country recognizes the spouse of {target} as its citizen?
twohop,P26#inverse-P40,Who is the child of the spouse of {target}?
twohop,P276-P131#inverse,What is located in the place where {target} is located?
twohop,P27-P1001#inverse,the country that recognizes {target} as its citizen is under the jurisdiction of which governmental body or law?
twohop,P27-P131#inverse,What is located in the country that recognizes {target} as its citizen?
twohop,P27-P150,What administrative division is contained within the country that recognizes {target} as its citizen?
twohop,P27-P150#inverse,Which administrative entity is the country that recognizes {target} as its citizen a part of?
twohop,P27-P17#inverse,What is located in the country that recognizes {target} as its citizen?
twohop,P27-P241#inverse,"Which military unit, award, office, or person belongs to the country that recognizes {target} as its citizen?"
twohop,P27-P361,What is the country that recognizes {target} as its citizen a part of?
